1k, train_mse: 0.002749802, test1_mse: 0.0027759934, test2_mse: 0.00015945426
2k, train_mse: 0.0027044867, test1_mse: 0.002757679, test2_mse: 0.0003892585
3k, train_mse: 0.0025955276, test1_mse: 0.0026763845, test2_mse: 0.00011238233
4k, train_mse: 0.0025554833, test1_mse: 0.0026416597, test2_mse: 5.1267492e-05
5k, train_mse: 0.0025113828, test1_mse: 0.0025763882, test2_mse: 6.2271174e-05
6k, train_mse: 0.0025092058, test1_mse: 0.0025641257, test2_mse: 5.1703202e-05
7k, train_mse: 0.0025421297, test1_mse: 0.002620009, test2_mse: 0.00050191465
8k, train_mse: 0.00248292, test1_mse: 0.0025509065, test2_mse: 7.459512e-05
9k, train_mse: 0.0025076787, test1_mse: 0.0025872504, test2_mse: 0.000112090485
10k, train_mse: 0.0024953953, test1_mse: 0.0025626156, test2_mse: 6.435603e-05
11k, train_mse: 0.0024493712, test1_mse: 0.0025357564, test2_mse: 0.000104062514
12k, train_mse: 0.0028743295, test1_mse: 0.0029614377, test2_mse: 4.9164388e-05
13k, train_mse: 0.0030062625, test1_mse: 0.0030428509, test2_mse: 4.8920272e-05
14k, train_mse: 0.0024741688, test1_mse: 0.0025280444, test2_mse: 4.6699024e-05
15k, train_mse: 0.0025050268, test1_mse: 0.0025523978, test2_mse: 5.129348e-05
16k, train_mse: 0.002458072, test1_mse: 0.0025125444, test2_mse: 0.00028336036
17k, train_mse: 0.0024391683, test1_mse: 0.0024996307, test2_mse: 0.0003718165
18k, train_mse: 0.0024405597, test1_mse: 0.0025207961, test2_mse: 0.0014077912
19k, train_mse: 0.0024933463, test1_mse: 0.0025640922, test2_mse: 7.824618e-05
20k, train_mse: 0.0026233068, test1_mse: 0.002710084, test2_mse: 0.00027495637
21k, train_mse: 0.0025881014, test1_mse: 0.0026591485, test2_mse: 0.00022304396
22k, train_mse: 0.0026115824, test1_mse: 0.0026702904, test2_mse: 0.00010702262
23k, train_mse: 0.002411339, test1_mse: 0.0024754233, test2_mse: 4.8414764e-05
24k, train_mse: 0.0024895165, test1_mse: 0.0025614612, test2_mse: 9.441061e-05
25k, train_mse: 0.002527683, test1_mse: 0.002610131, test2_mse: 0.00023822635
26k, train_mse: 0.0024791027, test1_mse: 0.0025579154, test2_mse: 0.00043725202
27k, train_mse: 0.0025394675, test1_mse: 0.0026005064, test2_mse: 5.355728e-05
28k, train_mse: 0.0024936877, test1_mse: 0.002577706, test2_mse: 0.0011915377
29k, train_mse: 0.002484626, test1_mse: 0.0025438897, test2_mse: 0.0011712294
30k, train_mse: 0.0024438081, test1_mse: 0.0024836971, test2_mse: 0.000331695
31k, train_mse: 0.0025155076, test1_mse: 0.0025686207, test2_mse: 5.8170583e-05
32k, train_mse: 0.0023799066, test1_mse: 0.0024508534, test2_mse: 0.0008309235
