1k, train_mse: 0.003145062, test1_mse: 0.0030824908, test2_mse: 8.54762e-05
2k, train_mse: 0.003260441, test1_mse: 0.0031765876, test2_mse: 4.084568e-05
3k, train_mse: 0.003195821, test1_mse: 0.003108499, test2_mse: 6.0542134e-05
4k, train_mse: 0.00419171, test1_mse: 0.0042111767, test2_mse: 0.00021018388
5k, train_mse: 0.0032922814, test1_mse: 0.0032409192, test2_mse: 3.380879e-05
6k, train_mse: 0.0031679282, test1_mse: 0.0031076558, test2_mse: 3.216091e-05
7k, train_mse: 0.0031884348, test1_mse: 0.0030668336, test2_mse: 4.0551808e-05
8k, train_mse: 0.0031074353, test1_mse: 0.0030348727, test2_mse: 4.713139e-05
9k, train_mse: 0.003157403, test1_mse: 0.0030825513, test2_mse: 3.0507592e-05
10k, train_mse: 0.0031021468, test1_mse: 0.003041526, test2_mse: 4.6304784e-05
11k, train_mse: 0.0030688164, test1_mse: 0.0030161566, test2_mse: 4.3583022e-05
12k, train_mse: 0.003022574, test1_mse: 0.0029256064, test2_mse: 3.10881e-05
13k, train_mse: 0.0030429354, test1_mse: 0.0029588563, test2_mse: 3.9574086e-05
14k, train_mse: 0.0030028005, test1_mse: 0.0029379085, test2_mse: 3.6681653e-05
15k, train_mse: 0.00300255, test1_mse: 0.0029268523, test2_mse: 4.537523e-05
16k, train_mse: 0.003031057, test1_mse: 0.002958781, test2_mse: 3.6083362e-05
17k, train_mse: 0.002997593, test1_mse: 0.0029135763, test2_mse: 3.53406e-05
18k, train_mse: 0.0029728517, test1_mse: 0.0028840879, test2_mse: 0.00029843464
19k, train_mse: 0.003007764, test1_mse: 0.0029254558, test2_mse: 0.00014702199
20k, train_mse: 0.0029394114, test1_mse: 0.0028832196, test2_mse: 3.992254e-05
21k, train_mse: 0.0031279812, test1_mse: 0.0030226947, test2_mse: 6.839399e-05
22k, train_mse: 0.003173956, test1_mse: 0.0030902736, test2_mse: 0.00035185655
23k, train_mse: 0.0030958683, test1_mse: 0.0030040874, test2_mse: 0.00030702894
24k, train_mse: 0.0030589087, test1_mse: 0.0029906228, test2_mse: 0.0002072862
25k, train_mse: 0.002986333, test1_mse: 0.0029196392, test2_mse: 0.0013555494
26k, train_mse: 0.0028550285, test1_mse: 0.0027900815, test2_mse: 0.0005711042
27k, train_mse: 0.0029993588, test1_mse: 0.002876881, test2_mse: 4.2163523e-05
28k, train_mse: 0.002807236, test1_mse: 0.0027304124, test2_mse: 0.00059030915
29k, train_mse: 0.0028506038, test1_mse: 0.0027548433, test2_mse: 4.3453874e-05
30k, train_mse: 0.0026766409, test1_mse: 0.002593735, test2_mse: 0.00015497048
31k, train_mse: 0.0025718058, test1_mse: 0.0025160033, test2_mse: 9.346761e-05
32k, train_mse: 0.0026445047, test1_mse: 0.0025670272, test2_mse: 0.00021202918
33k, train_mse: 0.0026374955, test1_mse: 0.002593017, test2_mse: 0.0005991105
